learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,0.0
2.0,0.078125,0.0,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,0.0
3.0,0.125,0.0,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,0.0
4.0,0.1875,0.0,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,0.0
5.0,0.25,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,5.0,0.0
6.0,0.296875,0.0,6.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.201,6.0,0.0
7.0,0.359375,0.0,7.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.202,7.0,0.0
8.0,0.40625,0.0,8.0,0.0,0.0,0.125,1.0,0.0,0.0,0.203,8.0,0.0
9.0,0.453125,0.0,9.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.20400000000000001,9.0,0.0
10.0,0.515625,0.0,10.0,0.0,0.0,0.1,1.0,0.0,0.0,0.20500000000000002,10.0,0.0
11.0,0.5625,0.0,11.0,0.0,0.0,0.09090909090909091,1.0,0.0,0.0,0.20600000000000002,11.0,0.0
12.0,0.625,0.0,12.0,0.0,0.0,0.08333333333333333,1.0,0.0,0.0,0.20700000000000002,12.0,0.0
13.0,0.671875,0.0,13.0,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,0.20800000000000002,13.0,0.0
14.0,0.71875,0.0,14.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0,0.20900000000000002,14.0,0.0
15.0,0.765625,0.0,15.0,0.0,0.0,0.13333333333333333,1.0,0.0,0.0,0.21000000000000002,15.0,0.0
16.0,0.8125,0.0,16.0,0.0,0.0,0.125,1.0,0.0,0.0,0.21100000000000002,16.0,0.0
17.0,0.859375,0.0,17.0,0.0,0.0,0.11764705882352941,1.0,0.0,0.0,0.21200000000000002,17.0,0.0
18.0,0.90625,0.0,18.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.21300000000000002,18.0,0.0
19.0,0.96875,0.0,19.0,0.0,0.0,0.15789473684210525,1.0,0.0,0.0,0.21400000000000002,19.0,0.0
20.0,1.015625,0.0,20.0,0.0,0.0,0.2,1.0,0.0,0.0,0.21500000000000002,20.0,0.0
21.0,1.0625,0.0,21.0,0.0,0.0,0.19047619047619047,1.0,0.0,0.0,0.21600000000000003,21.0,0.0
22.0,1.125,0.0,22.0,0.0,0.0,0.18181818181818182,1.0,0.0,0.0,0.21700000000000003,22.0,0.0
23.0,1.171875,0.0,23.0,0.0,0.0,0.21739130434782608,1.0,0.0,0.0,0.21800000000000003,23.0,0.0
24.0,1.21875,0.0,24.0,0.0,0.0,0.20833333333333334,1.0,0.0,0.0,0.219,24.0,0.0
25.0,1.265625,0.0,25.0,0.0,0.0,0.2,1.0,0.0,0.0,0.22,25.0,0.0
26.0,1.3125,0.0,26.0,0.0,0.0,0.23076923076923078,1.0,0.0,0.0,0.221,26.0,0.0
27.0,1.359375,0.0,27.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.0,0.222,27.0,0.0
28.0,1.40625,0.0,28.0,0.0,0.0,0.21428571428571427,1.0,0.0,0.0,0.223,28.0,0.0
29.0,1.46875,0.0,29.0,0.0,0.0,0.20689655172413793,1.0,0.0,0.0,0.224,29.0,0.0
30.0,1.515625,0.0,30.0,0.0,0.0,0.23333333333333334,1.0,0.0,0.0,0.225,30.0,0.0
31.0,1.5625,0.0,31.0,0.0,0.0,0.22580645161290322,1.0,0.0,0.0,0.226,31.0,0.0
32.0,1.609375,0.0,32.0,0.0,0.0,0.25,1.0,0.0,0.0,0.227,32.0,0.0
33.0,1.65625,0.0,33.0,0.0,0.0,0.2727272727272727,1.0,0.0,0.0,0.228,33.0,0.0
34.0,1.703125,0.0,34.0,0.0,0.0,0.29411764705882354,1.0,0.0,0.0,0.229,34.0,0.0
35.0,1.765625,0.0,35.0,0.0,0.0,0.3142857142857143,1.0,0.0,0.0,0.23,35.0,0.0
36.0,1.8125,0.0,36.0,0.0,0.0,0.3055555555555556,1.0,0.0,0.0,0.231,36.0,0.0
37.0,1.875,0.0,37.0,0.0,0.0,0.2972972972972973,1.0,0.0,0.0,0.232,37.0,0.0
38.0,1.921875,0.0,38.0,0.0,0.0,0.2894736842105263,1.0,0.0,0.0,0.233,38.0,0.0
39.0,1.953125,0.0,39.0,0.0,0.0,0.28205128205128205,1.0,0.0,0.0,0.234,39.0,0.0
40.0,2.0,0.0,40.0,0.0,0.0,0.3,1.0,0.0,0.0,0.23500000000000001,40.0,0.0
41.0,2.0625,0.0,41.0,0.0,0.0,0.2926829268292683,1.0,0.0,0.0,0.23600000000000002,41.0,0.0
42.0,2.109375,0.0,42.0,0.0,0.0,0.30952380952380953,1.0,0.0,0.0,0.23700000000000002,42.0,0.0
43.0,2.15625,0.0,43.0,0.0,0.0,0.3023255813953488,1.0,0.0,0.0,0.23800000000000002,43.0,0.0
44.0,2.203125,0.0,44.0,0.0,0.0,0.3181818181818182,1.0,0.0,0.0,0.23900000000000002,44.0,0.0
45.0,2.25,0.0,45.0,0.0,0.0,0.3111111111111111,1.0,0.0,0.0,0.24000000000000002,45.0,0.0
46.0,2.296875,0.0,46.0,0.0,0.0,0.30434782608695654,1.0,0.0,0.0,0.24100000000000002,46.0,0.0
47.0,2.34375,0.0,47.0,0.0,0.0,0.3191489361702128,1.0,0.0,0.0,0.24200000000000002,47.0,0.0
48.0,2.390625,0.0,48.0,0.0,0.0,0.3125,1.0,0.0,0.0,0.24300000000000002,48.0,0.0
49.0,2.453125,0.0,49.0,0.0,0.0,0.30612244897959184,1.0,0.0,0.0,0.244,49.0,0.0
50.0,2.5,0.0,50.0,0.0,0.0,0.32,1.0,0.0,0.0,0.245,50.0,0.0
51.0,2.546875,0.0,51.0,0.0,0.0,0.3137254901960784,1.0,0.0,0.0,0.246,51.0,0.0
52.0,2.59375,0.0,52.0,0.0,0.0,0.3076923076923077,1.0,0.0,0.0,0.247,52.0,0.0
53.0,2.640625,0.0,53.0,0.0,0.0,0.3018867924528302,1.0,0.0,0.0,0.248,53.0,0.0
54.0,2.6875,0.0,54.0,0.0,0.0,0.2962962962962963,1.0,0.0,0.0,0.249,54.0,0.0
55.0,2.734375,0.0,55.0,0.0,0.0,0.2909090909090909,1.0,0.0,0.0,0.25,55.0,0.0
56.0,2.796875,0.0,56.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.0,0.251,56.0,0.0
57.0,2.84375,0.0,57.0,0.0,0.0,0.2807017543859649,1.0,0.0,0.0,0.252,57.0,0.0
58.0,2.890625,0.0,58.0,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.253,58.0,0.0
59.0,2.953125,0.0,59.0,0.0,0.0,0.2711864406779661,1.0,0.0,0.0,0.254,59.0,0.0
60.0,3.0,0.0,60.0,0.0,0.0,0.26666666666666666,1.0,0.0,0.0,0.255,60.0,0.0
61.0,3.046875,0.0,61.0,0.0,0.0,0.26229508196721313,1.0,0.0,0.0,0.256,61.0,0.0
62.0,3.09375,0.0,62.0,0.0,0.0,0.25806451612903225,1.0,0.0,0.0,0.257,62.0,0.0
63.0,3.140625,0.0,63.0,0.0,0.0,0.25396825396825395,1.0,0.0,0.0,0.258,63.0,0.0
64.0,3.1875,0.0,64.0,0.0,0.0,0.25,1.0,0.0,0.0,0.259,64.0,0.0
65.0,3.25,0.0,65.0,0.0,0.0,0.26153846153846155,1.0,0.0,0.0,0.26,65.0,0.0
66.0,3.296875,0.0,66.0,0.0,0.0,0.2727272727272727,1.0,0.0,0.0,0.261,66.0,0.0
67.0,3.34375,0.0,67.0,0.0,0.0,0.26865671641791045,1.0,0.0,0.0,0.262,67.0,0.0
68.0,3.390625,0.0,68.0,0.0,0.0,0.2647058823529412,1.0,0.0,0.0,0.263,68.0,0.0
69.0,3.4375,0.0,69.0,0.0,0.0,0.2608695652173913,1.0,0.0,0.0,0.264,69.0,0.0
70.0,3.484375,0.0,70.0,0.0,0.0,0.2571428571428571,1.0,0.0,0.0,0.265,70.0,0.0
71.0,3.53125,0.0,71.0,0.0,0.0,0.2535211267605634,1.0,0.0,0.0,0.266,71.0,0.0
72.0,3.59375,0.0,72.0,0.0,0.0,0.2638888888888889,1.0,0.0,0.0,0.267,72.0,0.0
73.0,3.640625,0.0,73.0,0.0,0.0,0.273972602739726,1.0,0.0,0.0,0.268,73.0,0.0
74.0,3.703125,0.0,74.0,0.0,0.0,0.2702702702702703,1.0,0.0,0.0,0.269,74.0,0.0
75.0,3.75,0.0,75.0,0.0,0.0,0.28,1.0,0.0,0.0,0.27,75.0,0.0
76.0,3.796875,0.0,76.0,0.0,0.0,0.27631578947368424,1.0,0.0,0.0,0.271,76.0,0.0
77.0,3.84375,0.0,77.0,0.0,0.0,0.2727272727272727,1.0,0.0,0.0,0.272,77.0,0.0
78.0,3.890625,0.0,78.0,0.0,0.0,0.2692307692307692,1.0,0.0,0.0,0.273,78.0,0.0
79.0,3.953125,0.0,79.0,0.0,0.0,0.27848101265822783,1.0,0.0,0.0,0.274,79.0,0.0
80.0,4.015625,0.0,80.0,0.0,0.0,0.275,1.0,0.0,0.0,0.275,80.0,0.0
81.0,4.0625,0.0,81.0,0.0,0.0,0.2839506172839506,1.0,0.0,0.0,0.276,81.0,0.0
82.0,4.109375,0.0,82.0,0.0,0.0,0.2804878048780488,1.0,0.0,0.0,0.277,82.0,0.0
83.0,4.15625,0.0,83.0,0.0,0.0,0.2891566265060241,1.0,0.0,0.0,0.278,83.0,0.0
84.0,4.203125,0.0,84.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.0,0.279,84.0,0.0
85.0,4.265625,0.0,85.0,0.0,0.0,0.2823529411764706,1.0,0.0,0.0,0.28,85.0,0.0
86.0,4.3125,0.0,86.0,0.0,0.0,0.27906976744186046,1.0,0.0,0.0,0.281,86.0,0.0
87.0,4.359375,0.0,87.0,0.0,0.0,0.27586206896551724,1.0,0.0,0.0,0.28200000000000003,87.0,0.0
88.0,4.421875,0.0,88.0,0.0,0.0,0.2727272727272727,1.0,0.0,0.0,0.28300000000000003,88.0,0.0
89.0,4.46875,0.0,89.0,0.0,0.0,0.2808988764044944,1.0,0.0,0.0,0.28400000000000003,89.0,0.0
90.0,4.515625,0.0,90.0,0.0,0.0,0.2777777777777778,1.0,0.0,0.0,0.28500000000000003,90.0,0.0
91.0,4.5625,0.0,91.0,0.0,0.0,0.27472527472527475,1.0,0.0,0.0,0.28600000000000003,91.0,0.0
92.0,4.609375,0.0,92.0,0.0,0.0,0.2826086956521739,1.0,0.0,0.0,0.28700000000000003,92.0,0.0
93.0,4.65625,0.0,93.0,0.0,0.0,0.27956989247311825,1.0,0.0,0.0,0.28800000000000003,93.0,0.0
94.0,4.71875,0.0,94.0,0.0,0.0,0.2765957446808511,1.0,0.0,0.0,0.28900000000000003,94.0,0.0
95.0,4.765625,0.0,95.0,0.0,0.0,0.28421052631578947,1.0,0.0,0.0,0.29000000000000004,95.0,0.0
96.0,4.8125,0.0,96.0,0.0,0.0,0.28125,1.0,0.0,0.0,0.29100000000000004,96.0,0.0
97.0,4.875,0.0,97.0,0.0,0.0,0.28865979381443296,1.0,0.0,0.0,0.29200000000000004,97.0,0.0
98.0,4.90625,0.0,98.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.0,0.29300000000000004,98.0,0.0
99.0,4.953125,0.0,99.0,0.0,0.0,0.29292929292929293,1.0,0.0,0.0,0.29400000000000004,99.0,0.0
100.0,5.0,0.0,100.0,0.0,0.0,0.3,1.0,0.0,0.0,0.29500000000000004,100.0,0.0
101.0,5.046875,0.0,101.0,0.0,0.0,0.297029702970297,1.0,0.0,0.0,0.29600000000000004,101.0,0.0
102.0,5.109375,0.0,102.0,0.0,0.0,0.30392156862745096,1.0,0.0,0.0,0.29700000000000004,102.0,0.0
103.0,5.15625,0.0,103.0,0.0,0.0,0.30097087378640774,1.0,0.0,0.0,0.29800000000000004,103.0,0.0
104.0,5.203125,0.0,104.0,0.0,0.0,0.2980769230769231,1.0,0.0,0.0,0.29900000000000004,104.0,0.0
105.0,5.25,0.0,105.0,0.0,0.0,0.29523809523809524,1.0,0.0,0.0,0.30000000000000004,105.0,0.0
106.0,5.296875,0.0,106.0,0.0,0.0,0.29245283018867924,1.0,0.0,0.0,0.30100000000000005,106.0,0.0
107.0,5.34375,0.0,107.0,0.0,0.0,0.29906542056074764,1.0,0.0,0.0,0.30200000000000005,107.0,0.0
108.0,5.40625,0.0,108.0,0.0,0.0,0.2962962962962963,1.0,0.0,0.0,0.30300000000000005,108.0,0.0
109.0,5.453125,0.0,109.0,0.0,0.0,0.29357798165137616,1.0,0.0,0.0,0.30400000000000005,109.0,0.0
110.0,5.5,0.0,110.0,0.0,0.0,0.2909090909090909,1.0,0.0,0.0,0.305,110.0,0.0
111.0,5.546875,0.0,111.0,0.0,0.0,0.2882882882882883,1.0,0.0,0.0,0.306,111.0,0.0
112.0,5.59375,0.0,112.0,0.0,0.0,0.29464285714285715,1.0,0.0,0.0,0.307,112.0,0.0
113.0,5.640625,0.0,113.0,0.0,0.0,0.2920353982300885,1.0,0.0,0.0,0.308,113.0,0.0
114.0,5.703125,0.0,114.0,0.0,0.0,0.2894736842105263,1.0,0.0,0.0,0.309,114.0,0.0
115.0,5.75,0.0,115.0,0.0,0.0,0.2956521739130435,1.0,0.0,0.0,0.31,115.0,0.0
116.0,5.796875,0.0,116.0,0.0,0.0,0.29310344827586204,1.0,0.0,0.0,0.311,116.0,0.0
117.0,5.859375,0.0,117.0,0.0,0.0,0.2905982905982906,1.0,0.0,0.0,0.312,117.0,0.0
118.0,5.90625,0.0,118.0,0.0,0.0,0.288135593220339,1.0,0.0,0.0,0.313,118.0,0.0
119.0,5.953125,0.0,119.0,0.0,0.0,0.29411764705882354,1.0,0.0,0.0,0.314,119.0,0.0
120.0,6.0,0.0,120.0,0.0,0.0,0.2916666666666667,1.0,0.0,0.0,0.315,120.0,0.0
121.0,6.046875,0.0,121.0,0.0,0.0,0.2892561983471074,1.0,0.0,0.0,0.316,121.0,0.0
122.0,6.109375,0.0,122.0,0.0,0.0,0.28688524590163933,1.0,0.0,0.0,0.317,122.0,0.0
123.0,6.15625,0.0,123.0,0.0,0.0,0.2926829268292683,1.0,0.0,0.0,0.318,123.0,0.0
124.0,6.203125,0.0,124.0,0.0,0.0,0.2903225806451613,1.0,0.0,0.0,0.319,124.0,0.0
125.0,6.25,0.0,125.0,0.0,0.0,0.288,1.0,0.0,0.0,0.32,125.0,0.0
126.0,6.296875,0.0,126.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.0,0.321,126.0,0.0
127.0,6.359375,0.0,127.0,0.0,0.0,0.28346456692913385,1.0,0.0,0.0,0.322,127.0,0.0
128.0,6.40625,0.0,128.0,0.0,0.0,0.2890625,1.0,0.0,0.0,0.323,128.0,0.0
129.0,6.453125,0.0,129.0,0.0,0.0,0.29457364341085274,1.0,0.0,0.0,0.324,129.0,0.0
130.0,6.5,0.0,130.0,0.0,0.0,0.2923076923076923,1.0,0.0,0.0,0.325,130.0,0.0
131.0,6.546875,0.0,131.0,0.0,0.0,0.2900763358778626,1.0,0.0,0.0,0.326,131.0,0.0
132.0,6.59375,0.0,132.0,0.0,0.0,0.2878787878787879,1.0,0.0,0.0,0.327,132.0,0.0
133.0,6.640625,0.0,133.0,0.0,0.0,0.2932330827067669,1.0,0.0,0.0,0.328,133.0,0.0
134.0,6.6875,0.0,134.0,0.0,0.0,0.29850746268656714,1.0,0.0,0.0,0.329,134.0,0.0
135.0,6.734375,0.0,135.0,0.0,0.0,0.2962962962962963,1.0,0.0,0.0,0.33,135.0,0.0
136.0,6.78125,0.0,136.0,0.0,0.0,0.29411764705882354,1.0,0.0,0.0,0.331,136.0,0.0
137.0,6.84375,0.0,137.0,0.0,0.0,0.291970802919708,1.0,0.0,0.0,0.332,137.0,0.0
138.0,6.890625,0.0,138.0,0.0,0.0,0.2971014492753623,1.0,0.0,0.0,0.333,138.0,0.0
139.0,6.9375,0.0,139.0,0.0,0.0,0.2949640287769784,1.0,0.0,0.0,0.334,139.0,0.0
140.0,6.984375,0.0,140.0,0.0,0.0,0.29285714285714287,1.0,0.0,0.0,0.335,140.0,0.0
141.0,7.015625,0.0,141.0,0.0,0.0,0.2907801418439716,1.0,0.0,0.0,0.336,141.0,0.0
142.0,7.0625,0.0,142.0,0.0,0.0,0.2887323943661972,1.0,0.0,0.0,0.337,142.0,0.0
