learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
10.0,0.0,0.0,10.0,0.0,0.0,0.15456349206349207,0.0,?,0.0,0.2,10.0,0.0
20.0,0.078125,0.0,20.0,0.0,0.0,0.24874150273531076,0.0,?,0.0,0.2,20.0,0.0
30.0,0.125,0.0,30.0,0.0,0.0,0.276112880668223,0.0,?,0.0,0.2,30.0,0.0
40.0,0.1875,0.0,40.0,0.0,0.0,0.3229322098270542,0.0,?,0.0,0.2,40.0,0.0
50.0,0.25,0.0,50.0,0.0,0.0,0.32844518096897174,0.0,?,0.0,0.2,50.0,0.0
60.0,0.296875,0.0,60.0,0.0,0.0,0.31050399906527226,0.0,?,0.0,0.2,60.0,0.0
70.0,0.359375,0.0,70.0,0.0,0.0,0.3026350323393568,0.0,?,0.0,0.2,70.0,0.0
80.0,0.421875,0.0,80.0,0.0,0.0,0.2951418027622602,0.0,?,0.0,0.2,80.0,0.0
90.0,0.46875,0.0,90.0,0.0,0.0,0.2966263808556247,0.0,?,0.0,0.2,90.0,0.0
100.0,0.515625,0.0,100.0,0.0,0.0,0.3168700734258013,0.0,?,0.0,0.2,100.0,0.0
110.0,0.578125,0.0,110.0,0.0,0.0,0.3063463358578413,0.0,?,0.0,0.2,110.0,0.0
120.0,0.625,0.0,120.0,0.0,0.0,0.30702629789451646,0.0,?,0.0,0.2,120.0,0.0
130.0,0.6875,0.0,130.0,0.0,0.0,0.3028465375911227,0.0,?,0.0,0.2,130.0,0.0
140.0,0.75,0.0,140.0,0.0,0.0,0.3034842051149651,0.0,?,0.0,0.2,140.0,0.0
150.0,0.8125,0.0,150.0,0.0,0.0,0.2997380916110292,0.0,?,0.0,0.2,150.0,0.0
160.0,0.875,0.0,160.0,0.0,0.0,0.31239502278189357,0.0,?,0.0,0.2,160.0,0.0
170.0,0.921875,0.0,170.0,0.0,0.0,0.3054652105326242,0.0,?,0.0,0.2,170.0,0.0
180.0,0.984375,0.0,180.0,0.0,0.0,0.30609994359795495,0.0,?,0.0,0.2,180.0,0.0
190.0,1.03125,0.0,190.0,0.0,0.0,0.30318561832122415,0.0,?,0.0,0.2,190.0,0.0
200.0,1.09375,0.0,200.0,0.0,0.0,0.30358834679438085,0.0,?,0.0,0.2,200.0,0.0
210.0,1.15625,0.0,210.0,0.0,0.0,0.30083968009390205,0.0,?,0.0,0.2,210.0,0.0
220.0,1.21875,0.0,220.0,0.0,0.0,0.3071769103396937,0.0,?,0.0,0.2,220.0,0.0
230.0,1.265625,0.0,230.0,0.0,0.0,0.30758086242918226,0.0,?,0.0,0.2,230.0,0.0
240.0,1.328125,0.0,240.0,0.0,0.0,0.30785840796613584,0.0,?,0.0,0.2,240.0,0.0
250.0,1.375,0.0,250.0,0.0,0.0,0.3105808920548431,0.0,?,0.0,0.2,250.0,0.0
260.0,1.4375,0.0,260.0,0.0,0.0,0.31560124063516026,0.0,?,0.0,0.2,260.0,0.0
270.0,1.5,0.0,270.0,0.0,0.0,0.3158621008564906,0.0,?,0.0,0.2,270.0,0.0
280.0,1.546875,0.0,280.0,0.0,0.0,0.31396344892746786,0.0,?,0.0,0.2,280.0,0.0
290.0,1.609375,0.0,290.0,0.0,0.0,0.31628416455060465,0.0,?,0.0,0.2,290.0,0.0
300.0,1.671875,0.0,300.0,0.0,0.0,0.31650089361268874,0.0,?,0.0,0.2,300.0,0.0
310.0,1.734375,0.0,310.0,0.0,0.0,0.3167131795036962,0.0,?,0.0,0.2,310.0,0.0
320.0,1.796875,0.0,320.0,0.0,0.0,0.3187721281637851,0.0,?,0.0,0.2,320.0,0.0
330.0,1.859375,0.0,330.0,0.0,0.0,0.3207248795658641,0.0,?,0.0,0.2,330.0,0.0
340.0,1.9375,0.0,340.0,0.0,0.0,0.3225747210404279,0.0,?,0.0,0.2,340.0,0.0
350.0,2.0,0.0,350.0,0.0,0.0,0.3210420434300804,0.0,?,0.0,0.2,350.0,0.0
360.0,2.0625,0.0,360.0,0.0,0.0,0.32278385887835537,0.0,?,0.0,0.2,360.0,0.0
370.0,2.109375,0.0,370.0,0.0,0.0,0.31969558565726386,0.0,?,0.0,0.2,370.0,0.0
380.0,2.171875,0.0,380.0,0.0,0.0,0.3166233120446336,0.0,?,0.0,0.2,380.0,0.0
390.0,2.234375,0.0,390.0,0.0,0.0,0.31516356745970237,0.0,?,0.0,0.2,390.0,0.0
400.0,2.28125,0.0,400.0,0.0,0.0,0.3121643313894511,0.0,?,0.0,0.2,400.0,0.0
410.0,2.34375,0.0,410.0,0.0,0.0,0.31376449949539087,0.0,?,0.0,0.2,410.0,0.0
420.0,2.40625,0.0,420.0,0.0,0.0,0.3138426609707355,0.0,?,0.0,0.2,420.0,0.0
430.0,2.453125,0.0,430.0,0.0,0.0,0.31247972766519383,0.0,?,0.0,0.2,430.0,0.0
440.0,2.515625,0.0,440.0,0.0,0.0,0.31258731455258054,0.0,?,0.0,0.2,440.0,0.0
450.0,2.578125,0.0,450.0,0.0,0.0,0.3154308955244542,0.0,?,0.0,0.2,450.0,0.0
460.0,2.625,0.0,460.0,0.0,0.0,0.318149433333843,0.0,?,0.0,0.2,460.0,0.0
470.0,2.6875,0.0,470.0,0.0,0.0,0.3207675004460234,0.0,?,0.0,0.2,470.0,0.0
480.0,2.75,0.0,480.0,0.0,0.0,0.3208556064768194,0.0,?,0.0,0.2,480.0,0.0
490.0,2.796875,0.0,490.0,0.0,0.0,0.32213819875922534,0.0,?,0.0,0.2,490.0,0.0
500.0,2.859375,0.0,500.0,0.0,0.0,0.3210080516729196,1.0,0.0,0.0,0.2,500.0,0.0
510.0,2.90625,0.0,510.0,0.0,0.0,0.3233763019991642,1.0,0.0,0.0,0.21000000000000002,510.0,0.0
520.0,2.96875,0.0,520.0,0.0,0.0,0.322302433082329,1.0,0.0,0.0,0.22,520.0,0.0
530.0,3.03125,0.0,530.0,0.0,0.0,0.3223510716951112,1.0,0.0,0.0,0.23,530.0,0.0
540.0,3.078125,0.0,540.0,0.0,0.0,0.3223881069492873,1.0,0.0,0.0,0.24000000000000002,540.0,0.0
550.0,3.140625,0.0,550.0,0.0,0.0,0.32241449594363275,1.0,0.0,0.0,0.25,550.0,0.0
560.0,3.1875,0.0,560.0,0.0,0.0,0.3234983644991436,1.0,0.0,0.0,0.26,560.0,0.0
570.0,3.234375,0.0,570.0,0.0,0.0,0.32559535058302586,1.0,0.0,0.0,0.27,570.0,0.0
580.0,3.296875,0.0,580.0,0.0,0.0,0.32762586093086943,1.0,0.0,0.0,0.28,580.0,0.0
590.0,3.34375,0.0,590.0,0.0,0.0,0.3286251366877661,1.0,0.0,0.0,0.29000000000000004,590.0,0.0
600.0,3.40625,0.0,600.0,0.0,0.0,0.32865565700796556,1.0,0.0,0.0,0.30000000000000004,600.0,0.0
610.0,3.46875,0.0,610.0,0.0,0.0,0.3296263597477463,1.0,0.0,0.0,0.31,610.0,0.0
620.0,3.515625,0.0,620.0,0.0,0.0,0.33237423821992834,1.0,0.0,0.0,0.32,620.0,0.0
630.0,3.578125,0.0,630.0,0.0,0.0,0.33415881746663106,1.0,0.0,0.0,0.33,630.0,0.0
640.0,3.640625,0.0,640.0,0.0,0.0,0.3367515550285646,1.0,0.0,0.0,0.34,640.0,0.0
650.0,3.6875,0.0,650.0,0.0,0.0,0.3384252342106805,1.0,0.0,0.0,0.35,650.0,0.0
660.0,3.734375,0.0,660.0,0.0,0.0,0.33925426733699565,1.0,0.0,0.0,0.36,660.0,0.0
670.0,3.796875,0.0,670.0,0.0,0.0,0.33927175551687666,1.0,0.0,0.0,0.37,670.0,0.0
680.0,3.84375,0.0,680.0,0.0,0.0,0.34006580684792637,1.0,0.0,0.0,0.38,680.0,0.0
690.0,3.90625,0.0,690.0,0.0,0.0,0.3416203930417116,1.0,0.0,0.0,0.39,690.0,0.0
700.0,3.953125,0.0,700.0,0.0,0.0,0.3423775070173693,1.0,0.0,0.0,0.4,700.0,0.0
710.0,4.0,0.0,710.0,0.0,0.0,0.3416261372772606,1.0,0.0,0.0,0.41000000000000003,710.0,0.0
720.0,4.0625,0.0,720.0,0.0,0.0,0.34162150463617547,1.0,0.0,0.0,0.42000000000000004,720.0,0.0
730.0,4.109375,0.0,730.0,0.0,0.0,0.3452303599456585,1.0,0.0,0.0,0.43000000000000005,730.0,0.0
740.0,4.171875,0.0,740.0,0.0,0.0,0.3473212253130416,1.0,0.0,0.0,0.44,740.0,0.0
750.0,4.21875,0.0,750.0,0.0,0.0,0.34936732249597585,1.0,0.0,0.0,0.45,750.0,0.0
760.0,4.28125,0.0,760.0,0.0,0.0,0.35003050953323284,1.0,0.0,0.0,0.46,760.0,0.0
770.0,4.34375,0.0,770.0,0.0,0.0,0.35133431868792997,1.0,0.0,0.0,0.47000000000000003,770.0,0.0
780.0,4.390625,0.0,780.0,0.0,0.0,0.35197022576241055,1.0,0.0,0.0,0.48000000000000004,780.0,0.0
790.0,4.453125,0.0,790.0,0.0,0.0,0.3525930970130242,1.0,0.0,0.0,0.49,790.0,0.0
800.0,4.515625,0.0,800.0,0.0,0.0,0.35505400989065694,1.0,0.0,0.0,0.5,800.0,0.0
810.0,4.5625,0.0,810.0,0.0,0.0,0.35685064457965,1.0,0.0,0.0,0.51,810.0,0.0
820.0,4.625,0.0,820.0,0.0,0.0,0.35859830635306517,1.0,0.0,0.0,0.52,820.0,0.0
830.0,4.671875,0.0,830.0,0.0,0.0,0.361432303435546,1.0,0.0,0.0,0.53,830.0,0.0
840.0,4.734375,0.0,840.0,0.0,0.0,0.3641755137550845,1.0,0.0,0.0,0.54,840.0,0.0
850.0,4.796875,0.0,850.0,0.0,0.0,0.3663077095057945,1.0,0.0,0.0,0.55,850.0,0.0
860.0,4.84375,0.0,860.0,0.0,0.0,0.3678653712924595,1.0,0.0,0.0,0.56,860.0,0.0
870.0,4.90625,0.0,870.0,6.0,0.0,0.37022889545112914,1.0,365.0,1.0,0.5700000000000001,870.0,0.0
880.0,4.96875,0.0,880.0,16.0,0.0,0.3725149820052734,1.0,365.0,1.0,0.5800000000000001,880.0,0.0
890.0,5.015625,0.0,890.0,26.0,0.0,0.37355846378832225,1.0,365.0,1.0,0.5900000000000001,890.0,0.0
900.0,5.078125,0.0,900.0,36.0,0.0,0.3748964141653956,1.0,365.0,1.0,0.6000000000000001,900.0,0.0
910.0,5.125,0.0,910.0,46.0,0.0,0.3765754214868311,1.0,365.0,1.0,0.6100000000000001,910.0,0.0
920.0,5.1875,0.0,920.0,56.0,0.0,0.37849561219980765,1.0,365.0,1.0,0.62,920.0,0.0
