learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,79.0,57.986555697823306,55.88235294117647,57.57575757575758,1000.0,0.0
2000.0,0.0,0.0,2000.0,80.0,59.91662658329325,60.3960396039604,56.33187772925765,2000.0,0.0
3000.0,0.015625,0.0,3000.0,79.7,59.37790157845868,59.1549295774648,58.05785123966943,3000.0,0.0
4000.0,0.015625,0.0,4000.0,80.80000000000001,61.601075169895246,60.330578512396706,60.73619631901841,4000.0,0.0
5000.0,0.015625,0.0,5000.0,82.39999999999999,64.71305296249959,65.28599605522682,62.63269639065816,5000.0,0.0
6000.0,0.015625,0.0,6000.0,82.6,65.1909496469082,65.33864541832668,64.27104722792608,6000.0,0.0
7000.0,0.015625,0.0,7000.0,80.5,60.995319438332615,59.6273291925466,59.710743801652896,7000.0,0.0
8000.0,0.015625,0.0,8000.0,84.6,69.16015492015684,68.63543788187371,68.76267748478702,8000.0,0.0
9000.0,0.03125,0.0,9000.0,81.5,63.0026638082058,63.51084812623273,61.61825726141078,9000.0,0.0
10000.0,0.03125,0.0,10000.0,78.8,57.6271186440678,59.15221579961465,56.55737704918033,10000.0,0.0
11000.0,0.03125,0.0,11000.0,77.2,54.397081413210444,51.89873417721519,56.2380038387716,11000.0,0.0
12000.0,0.03125,0.0,12000.0,76.2,52.28031904015271,51.42857142857144,49.03640256959314,12000.0,0.0
13000.0,0.03125,0.0,13000.0,78.5,56.99896797523141,54.545454545454554,56.91382765531062,13000.0,0.0
14000.0,0.03125,0.0,14000.0,78.8,57.582184517497346,59.15221579961465,54.79744136460555,14000.0,0.0
15000.0,0.03125,0.0,15000.0,76.7,53.40186392544298,55.01930501930502,50.63559322033898,15000.0,0.0
16000.0,0.046875,0.0,16000.0,75.7,51.38016310654747,51.689860834990064,50.204918032786885,16000.0,0.0
17000.0,0.046875,0.0,17000.0,78.5,56.92038887864774,58.65384615384615,56.565656565656575,17000.0,0.0
18000.0,0.046875,0.0,18000.0,74.6,49.195935674853985,48.99598393574297,48.686868686868685,18000.0,0.0
19000.0,0.046875,0.0,19000.0,75.2,50.395833249993004,47.89915966386554,48.22546972860125,19000.0,0.0
20000.0,0.046875,0.0,20000.0,76.1,52.20382369410448,53.411306042885,52.00803212851406,20000.0,0.0
21000.0,0.046875,0.0,21000.0,83.7,67.34540151132693,65.97077244258872,66.1122661122661,21000.0,0.0
22000.0,0.046875,0.0,22000.0,80.4,60.791217232660124,60.56338028169015,60.72144288577155,22000.0,0.0
23000.0,0.046875,0.0,23000.0,77.60000000000001,55.18565941101152,57.17017208413002,55.02008032128515,23000.0,0.0
24000.0,0.0625,0.0,24000.0,78.9,57.79594841104746,59.88593155893537,55.85774058577406,24000.0,0.0
25000.0,0.0625,0.0,25000.0,78.10000000000001,56.18247298919569,55.57809330628803,54.27974947807933,25000.0,0.0
26000.0,0.0625,0.0,26000.0,78.3,56.49558941459504,57.864077669902926,56.686626746506995,26000.0,0.0
27000.0,0.0625,0.0,27000.0,77.4,54.79349026259782,54.70941883767535,54.89021956087825,27000.0,0.0
28000.0,0.0625,0.0,28000.0,78.10000000000001,56.2,55.57809330628803,54.93827160493827,28000.0,0.0
29000.0,0.0625,0.0,29000.0,73.1,46.10989574568679,46.83794466403162,43.008474576271176,29000.0,0.0
30000.0,0.0625,0.0,30000.0,77.10000000000001,54.20805938154884,56.38095238095239,51.06837606837607,30000.0,0.0
31000.0,0.078125,0.0,31000.0,74.2,48.39855515954447,47.45417515274949,47.66734279918864,31000.0,0.0
32000.0,0.078125,0.0,32000.0,72.2,44.408672247129445,40.97664543524415,42.44306418219461,32000.0,0.0
33000.0,0.078125,0.0,33000.0,73.3,46.616655603451726,47.12871287128713,46.599999999999994,33000.0,0.0
34000.0,0.078125,0.0,34000.0,76.4,52.78640248391536,53.72549019607843,50.935550935550935,34000.0,0.0
35000.0,0.078125,0.0,35000.0,74.7,49.380562135860174,50.3921568627451,48.78542510121457,35000.0,0.0
36000.0,0.078125,0.0,36000.0,76.5,53.05070523834259,54.807692307692314,52.33265720081136,36000.0,0.0
37000.0,0.078125,0.0,37000.0,74.8,49.585480618418096,51.81644359464628,49.39759036144578,37000.0,0.0
38000.0,0.09375,0.0,38000.0,72.39999999999999,44.756689244367585,44.91017964071855,42.49999999999999,38000.0,0.0
39000.0,0.09375,0.0,39000.0,71.6,43.189092305722696,42.9718875502008,42.51012145748987,39000.0,0.0
40000.0,0.09375,0.0,40000.0,69.19999999999999,38.40073919112969,37.01431492842534,37.14285714285713,40000.0,0.0
41000.0,0.09375,0.0,41000.0,67.9,35.924562650208,35.671342685370746,31.991525423728824,41000.0,0.0
42000.0,0.09375,0.0,42000.0,64.8,29.607602378943078,27.720739219712527,26.666666666666668,42000.0,0.0
43000.0,0.09375,0.0,43000.0,65.7,31.4065849678431,30.142566191446036,30.284552845528463,43000.0,0.0
44000.0,0.09375,0.0,44000.0,63.1,26.210625669903532,24.229979466119094,22.641509433962263,44000.0,0.0
45000.0,0.09375,0.0,45000.0,62.9,25.8089029316482,25.8,24.285714285714285,45000.0,0.0
46000.0,0.109375,0.0,46000.0,67.10000000000001,34.2147358991586,34.72222222222223,31.315240083507312,46000.0,0.0
47000.0,0.109375,0.0,47000.0,71.6,43.2193054361517,42.51012145748987,45.489443378119,47000.0,0.0
48000.0,0.109375,0.0,48000.0,70.1,40.19569408997447,40.792079207920786,40.556660039761425,48000.0,0.0
49000.0,0.109375,0.0,49000.0,66.7,33.400000000000006,33.66533864541834,31.340206185567016,49000.0,0.0
50000.0,0.109375,0.0,50000.0,70.39999999999999,40.652581011231895,40.681362725450896,37.68421052631577,50000.0,0.0
51000.0,0.109375,0.0,51000.0,73.5,46.98091312872634,48.14090019569471,46.8937875751503,51000.0,0.0
52000.0,0.109375,0.0,52000.0,73.8,47.57903161264505,49.224806201550386,46.20123203285421,52000.0,0.0
53000.0,0.125,0.0,53000.0,73.8,47.598113532087154,47.70459081836327,47.599999999999994,53000.0,0.0
54000.0,0.125,0.0,54000.0,72.3,44.57339522971026,44.37751004016064,45.25691699604742,54000.0,0.0
55000.0,0.125,0.0,55000.0,73.1,45.99781582243921,46.73267326732673,43.48739495798319,55000.0,0.0
56000.0,0.125,0.0,56000.0,72.7,45.462391024667774,45.29058116232464,42.405063291139236,56000.0,0.0
57000.0,0.125,0.0,57000.0,76.6,53.20280783153011,53.106212424849694,52.727272727272734,57000.0,0.0
58000.0,0.125,0.0,58000.0,81.39999999999999,62.7857097125296,61.16910229645093,61.57024793388428,58000.0,0.0
59000.0,0.125,0.0,59000.0,76.1,52.12531549216778,53.3203125,52.29540918163673,59000.0,0.0
60000.0,0.140625,0.0,60000.0,76.0,51.974065995637645,50.31055900621118,50.1039501039501,60000.0,0.0
61000.0,0.140625,0.0,61000.0,72.5,45.015835439393456,47.216890595009595,43.76278118609406,61000.0,0.0
62000.0,0.140625,0.0,62000.0,73.7,47.40336618456419,50.094876660341555,45.66115702479338,62000.0,0.0
63000.0,0.140625,0.0,63000.0,73.7,47.30514926868363,48.023715415019765,46.326530612244895,63000.0,0.0
64000.0,0.140625,0.0,64000.0,77.5,55.01583442628195,55.268389662027836,54.90981963927856,64000.0,0.0
65000.0,0.140625,0.0,65000.0,78.8,57.60000000000001,56.10766045548655,57.60000000000001,65000.0,0.0
66000.0,0.140625,0.0,66000.0,77.3,54.6,51.4957264957265,53.002070393374744,66000.0,0.0
67000.0,0.140625,0.0,67000.0,81.39999999999999,62.79166533303459,61.72839506172838,61.08786610878659,67000.0,0.0
68000.0,0.15625,0.0,68000.0,83.0,65.99020517909156,66.06786427145708,64.80331262939958,68000.0,0.0
69000.0,0.15625,0.0,69000.0,81.0,61.97490343626795,63.46153846153847,60.251046025104614,69000.0,0.0
70000.0,0.15625,0.0,70000.0,83.0,66.00040799510406,66.79687499999999,65.79476861167001,70000.0,0.0
71000.0,0.15625,0.0,71000.0,83.89999999999999,67.80128794848206,67.67068273092369,66.24737945492662,71000.0,0.0
72000.0,0.15625,0.0,72000.0,83.6,67.19960639527673,66.39344262295081,67.13426853707413,72000.0,0.0
73000.0,0.15625,0.0,73000.0,81.8,63.58557988963628,63.38028169014084,62.78118609406952,73000.0,0.0
74000.0,0.15625,0.0,74000.0,81.3,62.606581241701456,61.83673469387754,61.36363636363635,74000.0,0.0
75000.0,0.171875,0.0,75000.0,80.0,59.882053236515354,60.7843137254902,58.333333333333336,75000.0,0.0
76000.0,0.171875,0.0,76000.0,78.3,56.62637116633087,55.623721881390594,54.88565488565489,76000.0,0.0
77000.0,0.171875,0.0,77000.0,77.5,54.91560200695702,52.53164556962025,51.19305856832972,77000.0,0.0
78000.0,0.171875,0.0,78000.0,76.5,52.97178306984192,53.55731225296443,52.33265720081136,78000.0,0.0
79000.0,0.171875,0.0,79000.0,75.3,50.604346817480064,51.28205128205129,50.6,79000.0,0.0
80000.0,0.171875,0.0,80000.0,77.2,54.34795667060449,54.12474849094567,54.400000000000006,80000.0,0.0
81000.0,0.171875,0.0,81000.0,77.5,54.925356390182145,54.72837022132797,56.896551724137936,81000.0,0.0
82000.0,0.1875,0.0,82000.0,78.60000000000001,57.20427957204281,55.876288659793815,55.876288659793815,82000.0,0.0
83000.0,0.1875,0.0,83000.0,75.2,50.415866922584776,50.10060362173038,46.43628509719222,83000.0,0.0
84000.0,0.1875,0.0,84000.0,75.5,50.97293706125781,53.24427480916031,51.19521912350598,84000.0,0.0
