learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,82.0,54.74476044893196,61.03896103896103,45.78313253012046,1000.0,0.0
2000.0,0.0,0.0,2000.0,87.1,69.02017291066281,73.34710743801652,62.93103448275862,2000.0,0.0
3000.0,0.0,0.0,3000.0,87.0,67.46355918628865,71.36563876651982,60.36585365853659,3000.0,0.0
4000.0,0.0,0.0,4000.0,88.4,70.08258238895738,72.51184834123224,62.70096463022509,4000.0,0.0
5000.0,0.0,0.0,5000.0,86.6,67.07147455902806,71.05831533477321,60.47197640117994,5000.0,0.0
6000.0,0.015625,0.0,6000.0,88.5,70.4594961160659,72.94117647058825,63.25878594249201,6000.0,0.0
7000.0,0.015625,0.0,7000.0,88.2,69.38770215790758,72.30046948356808,62.05787781350484,7000.0,0.0
8000.0,0.015625,0.0,8000.0,89.60000000000001,73.94789579158316,74.75728155339807,67.5,8000.0,0.0
9000.0,0.015625,0.0,9000.0,89.7,73.55040829952237,76.64399092970523,66.7741935483871,9000.0,0.0
10000.0,0.015625,0.0,10000.0,85.7,63.991458673274096,65.8711217183771,57.05705705705705,10000.0,0.0
11000.0,0.015625,0.0,11000.0,89.0,70.40385288024324,74.17840375586854,62.71186440677967,11000.0,0.0
12000.0,0.015625,0.0,12000.0,86.5,67.2714578019996,69.31818181818181,61.09510086455331,12000.0,0.0
13000.0,0.03125,0.0,13000.0,88.3,68.52334115317565,72.00956937799043,60.606060606060616,13000.0,0.0
14000.0,0.03125,0.0,14000.0,89.8,72.35472679965308,75.71428571428572,64.82758620689656,14000.0,0.0
15000.0,0.03125,0.0,15000.0,87.9,69.31021538648837,71.99074074074075,62.4223602484472,15000.0,0.0
16000.0,0.03125,0.0,16000.0,87.4,67.91607251986147,71.10091743119267,60.62499999999999,16000.0,0.0
17000.0,0.03125,0.0,17000.0,86.7,69.4954128440367,71.3978494623656,64.53333333333333,17000.0,0.0
18000.0,0.046875,0.0,18000.0,87.3,68.22298954110994,72.97872340425532,61.16207951070336,18000.0,0.0
19000.0,0.046875,0.0,19000.0,82.3,58.78775460785499,57.75656324582338,53.17460317460316,19000.0,0.0
20000.0,0.046875,0.0,20000.0,84.3,63.053607568127255,66.23655913978493,56.986301369863,20000.0,0.0
21000.0,0.046875,0.0,21000.0,83.7,61.81417795061612,65.09635974304068,54.97237569060772,21000.0,0.0
22000.0,0.046875,0.0,22000.0,80.60000000000001,55.27666225580828,60.08230452674898,49.3472584856397,22000.0,0.0
23000.0,0.046875,0.0,23000.0,77.9,49.47370346322326,53.17796610169492,43.187660668380474,23000.0,0.0
24000.0,0.046875,0.0,24000.0,73.7,42.812660363737564,46.10655737704918,38.26291079812207,24000.0,0.0
25000.0,0.0625,0.0,25000.0,66.2,29.229480737018438,36.82242990654206,26.521739130434785,25000.0,0.0
26000.0,0.0625,0.0,26000.0,63.800000000000004,26.23054381538888,29.434697855750493,25.051759834368532,26000.0,0.0
27000.0,0.0625,0.0,27000.0,60.4,20.712149061159753,19.67545638945233,19.838056680161937,27000.0,0.0
28000.0,0.0625,0.0,28000.0,52.7,11.22838889848131,6.336633663366342,-6.29213483146068,28000.0,0.0
29000.0,0.0625,0.0,29000.0,53.2,10.597962092007684,5.835010060362178,-2.4070021881838097,29000.0,0.0
30000.0,0.0625,0.0,30000.0,47.099999999999994,2.247747448093371,-13.763440860215068,-26.55502392344497,30000.0,0.0
31000.0,0.0625,0.0,31000.0,45.0,0.969419356697368,-13.402061855670103,-32.8502415458937,31000.0,0.0
32000.0,0.0625,0.0,32000.0,44.800000000000004,-1.44075271978829,-14.760914760914762,-31.428571428571413,32000.0,0.0
33000.0,0.078125,0.0,33000.0,42.9,-1.4750311000533196,-17.24845995893224,-47.92746113989637,33000.0,0.0
34000.0,0.078125,0.0,34000.0,43.3,-3.62902636234702,-15.950920245398775,-35.97122302158272,34000.0,0.0
35000.0,0.078125,0.0,35000.0,43.6,-0.7056538011027647,-16.528925619834713,-43.877551020408156,35000.0,0.0
36000.0,0.078125,0.0,36000.0,41.5,-3.4446173433300316,-23.678646934460897,-53.94736842105263,36000.0,0.0
37000.0,0.078125,0.0,37000.0,42.5,-4.72291228044614,-16.632860040567955,-41.62561576354679,37000.0,0.0
38000.0,0.078125,0.0,38000.0,44.3,0.8014247551202145,-18.7633262260128,-47.745358090185675,38000.0,0.0
