learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.015625,0.0,1000.0,82.0,54.74476044893196,61.03896103896103,45.78313253012046,1000.0,0.0
2000.0,0.015625,0.0,2000.0,87.1,69.02017291066281,73.34710743801652,62.93103448275862,2000.0,0.0
3000.0,0.03125,0.0,3000.0,87.0,67.46355918628865,71.36563876651982,60.36585365853659,3000.0,0.0
4000.0,0.03125,0.0,4000.0,88.6,70.67177080760682,73.04964539007092,63.46153846153847,4000.0,0.0
5000.0,0.03125,0.0,5000.0,86.6,66.99832528814895,71.05831533477321,60.35502958579882,5000.0,0.0
6000.0,0.03125,0.0,6000.0,88.4,70.09939373943169,72.64150943396227,62.82051282051283,6000.0,0.0
7000.0,0.046875,0.0,7000.0,88.2,69.38770215790758,72.30046948356808,62.05787781350484,7000.0,0.0
8000.0,0.046875,0.0,8000.0,89.60000000000001,74.06690737896227,74.818401937046,67.70186335403727,8000.0,0.0
9000.0,0.046875,0.0,9000.0,89.5,72.91664517194062,76.24434389140272,66.01941747572818,9000.0,0.0
10000.0,0.046875,0.0,10000.0,85.8,64.18771689129204,65.94724220623502,57.22891566265059,10000.0,0.0
11000.0,0.046875,0.0,11000.0,89.0,70.33841175677497,74.23887587822014,62.71186440677967,11000.0,0.0
12000.0,0.046875,0.0,12000.0,86.6,67.39897331095052,69.61451247165532,61.15942028985507,12000.0,0.0
13000.0,0.046875,0.0,13000.0,88.4,69.18565113906836,72.64150943396227,61.58940397350994,13000.0,0.0
14000.0,0.0625,0.0,14000.0,90.10000000000001,72.79621894921962,76.20192307692308,65.14084507042254,14000.0,0.0
15000.0,0.0625,0.0,15000.0,88.7,71.28860792942588,73.90300230946882,64.57680250783699,15000.0,0.0
16000.0,0.0625,0.0,16000.0,88.6,70.83280030702315,73.73271889400922,63.8095238095238,16000.0,0.0
17000.0,0.0625,0.0,17000.0,87.5,70.643494598403,72.64770240700219,65.27777777777779,17000.0,0.0
18000.0,0.0625,0.0,18000.0,88.6,70.93734703866862,75.16339869281046,64.15094339622641,18000.0,0.0
19000.0,0.0625,0.0,19000.0,85.8,65.9987740403034,66.43026004728132,60.11235955056179,19000.0,0.0
20000.0,0.0625,0.0,20000.0,89.7,74.8006067426726,75.93457943925235,68.8821752265861,20000.0,0.0
21000.0,0.0625,0.0,21000.0,88.6,71.26726484524649,74.32432432432432,64.59627329192547,21000.0,0.0
22000.0,0.078125,0.0,22000.0,87.6,68.91170925428216,72.68722466960352,62.19512195121951,22000.0,0.0
23000.0,0.078125,0.0,23000.0,89.8,73.1721558539934,76.87074829931973,66.11295681063125,23000.0,0.0
24000.0,0.078125,0.0,24000.0,87.7,69.55837367467554,73.9406779661017,63.17365269461077,24000.0,0.0
