learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,86.2,72.25851844406472,70.94736842105263,69.93464052287581,1000.0,0.0
2000.0,0.0,0.0,2000.0,89.5,79.0,78.83064516129032,78.61507128309573,2000.0,0.0
3000.0,0.015625,0.0,3000.0,90.5,81.0009119562261,79.65738758029978,80.76923076923077,3000.0,0.0
4000.0,0.015625,0.0,4000.0,91.2,82.39831023778284,82.11382113821138,82.25806451612904,4000.0,0.0
5000.0,0.015625,0.0,5000.0,90.3,80.59456647861401,81.66351606805293,80.48289738430584,5000.0,0.0
6000.0,0.015625,0.0,6000.0,90.2,80.38375775141819,80.08130081300814,79.45492662473795,6000.0,0.0
7000.0,0.015625,0.0,7000.0,90.3,80.60000000000001,80.86785009861933,80.48289738430584,7000.0,0.0
8000.0,0.015625,0.0,8000.0,91.4,82.74256726385411,82.15767634854772,81.8565400843882,8000.0,0.0
9000.0,0.015625,0.0,9000.0,90.5,80.9990879562219,80.45267489711935,80.20833333333334,9000.0,0.0
10000.0,0.03125,0.0,10000.0,89.8,79.58750755462344,80.42226487523992,78.61635220125787,10000.0,0.0
11000.0,0.03125,0.0,11000.0,87.1,74.05408014674529,73.61963190184049,72.37687366167023,11000.0,0.0
12000.0,0.03125,0.0,12000.0,89.4,78.80305236046009,77.54237288135593,79.17485265225933,12000.0,0.0
13000.0,0.03125,0.0,13000.0,88.8,77.59247107027963,78.03921568627452,76.06837606837607,13000.0,0.0
14000.0,0.03125,0.0,14000.0,88.7,77.37719621378349,77.97270955165693,76.89161554192229,14000.0,0.0
15000.0,0.03125,0.0,15000.0,86.9,73.79287166109182,72.76507276507276,72.47899159663865,15000.0,0.0
16000.0,0.03125,0.0,16000.0,87.3,74.57762831291537,73.5966735966736,73.86831275720165,16000.0,0.0
17000.0,0.046875,0.0,17000.0,85.3,70.59482468914528,71.00591715976331,69.56521739130434,17000.0,0.0
18000.0,0.046875,0.0,18000.0,87.8,75.57528218557181,74.58333333333333,74.42348008385744,18000.0,0.0
19000.0,0.046875,0.0,19000.0,85.8,71.59375062513752,71.71314741035856,70.35490605427974,19000.0,0.0
20000.0,0.046875,0.0,20000.0,86.4,72.79640912600463,73.9961759082218,72.69076305220882,20000.0,0.0
21000.0,0.046875,0.0,21000.0,86.2,72.38011368185093,72.23340040241449,70.8245243128964,21000.0,0.0
22000.0,0.046875,0.0,22000.0,86.7,73.31653411872337,74.76280834914611,72.11740041928721,22000.0,0.0
23000.0,0.046875,0.0,23000.0,84.89999999999999,69.80024159806722,70.33398821218074,69.73947895791582,23000.0,0.0
24000.0,0.0625,0.0,24000.0,84.8,69.59452701486268,68.97959183673468,68.33333333333333,24000.0,0.0
25000.0,0.0625,0.0,25000.0,81.39999999999999,62.79999999999999,63.45776031434184,62.0408163265306,25000.0,0.0
26000.0,0.0625,0.0,26000.0,83.3,66.53494393100186,67.82273603082851,65.70841889117042,26000.0,0.0
27000.0,0.0625,0.0,27000.0,81.10000000000001,62.16458605254519,61.19096509240247,62.12424849699399,27000.0,0.0
28000.0,0.0625,0.0,28000.0,83.0,66.00448740766218,67.24470134874758,65.58704453441294,28000.0,0.0
29000.0,0.0625,0.0,29000.0,79.5,59.00688684301038,59.16334661354582,58.75251509054327,29000.0,0.0
30000.0,0.0625,0.0,30000.0,82.0,63.88211121099266,64.63654223968564,61.3733905579399,30000.0,0.0
31000.0,0.0625,0.0,31000.0,84.39999999999999,68.75012519981891,68.16326530612244,67.56756756756756,31000.0,0.0
32000.0,0.078125,0.0,32000.0,82.69999999999999,65.31759460478095,66.60231660231659,63.807531380753126,32000.0,0.0
33000.0,0.078125,0.0,33000.0,82.19999999999999,64.39700934878529,63.8211382113821,65.23437499999999,33000.0,0.0
34000.0,0.078125,0.0,34000.0,83.7,67.39999999999999,67.33466933867734,67.33466933867734,34000.0,0.0
35000.0,0.078125,0.0,35000.0,84.5,68.96996292411053,67.97520661157024,67.02127659574467,35000.0,0.0
36000.0,0.078125,0.0,36000.0,87.3,74.59918717398956,74.02862985685071,73.7603305785124,36000.0,0.0
37000.0,0.078125,0.0,37000.0,85.9,71.72716918782784,73.09160305343512,70.68607068607068,37000.0,0.0
38000.0,0.078125,0.0,38000.0,87.2,74.39539117041068,74.55268389662028,74.29718875502009,38000.0,0.0
39000.0,0.09375,0.0,39000.0,84.8,69.55799002623621,69.47791164658635,68.85245901639344,39000.0,0.0
40000.0,0.09375,0.0,40000.0,84.7,69.40611877624474,69.09090909090908,68.58316221765914,40000.0,0.0
41000.0,0.09375,0.0,41000.0,84.5,69.00520712520296,68.62348178137651,67.23044397463002,41000.0,0.0
42000.0,0.09375,0.0,42000.0,83.8,67.58547829427583,67.40442655935614,66.1795407098121,42000.0,0.0
43000.0,0.09375,0.0,43000.0,80.80000000000001,61.47595256726661,62.3529411764706,58.70967741935485,43000.0,0.0
44000.0,0.09375,0.0,44000.0,81.89999999999999,63.614287322494,63.43434343434342,61.571125265392766,44000.0,0.0
45000.0,0.09375,0.0,45000.0,81.39999999999999,62.799851199404785,60.25641025641024,62.348178137651814,45000.0,0.0
46000.0,0.109375,0.0,46000.0,83.39999999999999,66.75531914893617,66.73346693386773,64.45396145610277,46000.0,0.0
47000.0,0.109375,0.0,47000.0,82.3,64.55008652182272,65.15748031496062,62.17948717948717,47000.0,0.0
48000.0,0.109375,0.0,48000.0,82.6,65.1966588792524,63.44537815126049,64.77732793522266,48000.0,0.0
49000.0,0.109375,0.0,49000.0,81.6,63.201619128758324,63.779527559055104,62.9032258064516,49000.0,0.0
50000.0,0.109375,0.0,50000.0,84.6,69.2009855684618,69.5049504950495,68.57142857142856,50000.0,0.0
51000.0,0.109375,0.0,51000.0,86.1,72.1982206861239,72.5296442687747,71.2215320910973,51000.0,0.0
52000.0,0.109375,0.0,52000.0,83.39999999999999,66.78870816077466,65.91375770020534,66.46464646464646,52000.0,0.0
53000.0,0.125,0.0,53000.0,85.0,70.00059998800023,69.93987975951903,69.69696969696969,53000.0,0.0
54000.0,0.125,0.0,54000.0,84.39999999999999,68.76063840438952,69.76744186046511,67.01902748414376,54000.0,0.0
55000.0,0.125,0.0,55000.0,86.2,72.40540853992617,73.20388349514563,72.17741935483872,55000.0,0.0
56000.0,0.125,0.0,56000.0,84.8,69.59452701486268,69.66067864271457,68.65979381443297,56000.0,0.0
57000.0,0.125,0.0,57000.0,86.0,71.95950953176387,72.11155378486056,71.54471544715447,57000.0,0.0
58000.0,0.125,0.0,58000.0,87.8,75.58329897649992,76.35658914728683,76.21832358674465,58000.0,0.0
59000.0,0.125,0.0,59000.0,84.0,67.99935998719974,67.80684104627765,66.10169491525423,59000.0,0.0
60000.0,0.125,0.0,60000.0,82.89999999999999,65.77535825794571,65.59356136820925,64.22594142259413,60000.0,0.0
61000.0,0.140625,0.0,61000.0,87.1,74.20412733962566,73.45679012345678,73.23651452282157,61000.0,0.0
62000.0,0.140625,0.0,62000.0,85.8,71.58863545418167,72.10216110019645,71.71314741035856,62000.0,0.0
63000.0,0.140625,0.0,63000.0,88.2,76.2968438644983,76.6798418972332,74.67811158798283,63000.0,0.0
64000.0,0.140625,0.0,64000.0,88.0,75.96375334003677,76.78916827852998,75.35934291581108,64000.0,0.0
65000.0,0.140625,0.0,65000.0,88.7,77.39077543637805,75.38126361655773,76.45833333333334,65000.0,0.0
66000.0,0.140625,0.0,66000.0,87.6,75.16572870561374,74.16666666666667,73.78435517970402,66000.0,0.0
67000.0,0.15625,0.0,67000.0,88.6,77.16419345533797,76.54320987654322,75.84745762711864,67000.0,0.0
68000.0,0.15625,0.0,68000.0,89.1,78.09062841705796,77.14884696016772,76.70940170940172,68000.0,0.0
69000.0,0.15625,0.0,69000.0,85.3,70.6,70.83333333333333,70.83333333333333,69000.0,0.0
70000.0,0.15625,0.0,70000.0,88.7,77.3853457040162,77.9296875,76.55601659751038,70000.0,0.0
71000.0,0.15625,0.0,71000.0,87.8,75.5859375,75.20325203252033,74.63617463617463,71000.0,0.0
72000.0,0.15625,0.0,72000.0,88.6,77.12313372933055,76.92307692307693,77.15430861723446,72000.0,0.0
73000.0,0.171875,0.0,73000.0,87.9,75.79651469811654,74.52631578947368,75.75150300601202,73000.0,0.0
74000.0,0.171875,0.0,74000.0,89.4,78.76560027244136,78.88446215139443,77.58985200845666,74000.0,0.0
75000.0,0.171875,0.0,75000.0,88.7,77.39801102497019,77.03252032520325,77.1255060728745,75000.0,0.0
76000.0,0.171875,0.0,76000.0,87.9,75.73691598155203,75.60483870967742,75.3061224489796,76000.0,0.0
77000.0,0.171875,0.0,77000.0,87.6,75.07327251747886,74.53798767967146,72.98474945533769,77000.0,0.0
78000.0,0.171875,0.0,78000.0,85.9,71.7864574995998,72.35294117647058,71.4574898785425,78000.0,0.0
79000.0,0.1875,0.0,79000.0,89.5,79.0003359946241,79.6116504854369,78.95791583166333,79000.0,0.0
80000.0,0.1875,0.0,80000.0,89.0,78.0035194368901,79.12713472485768,76.74418604651163,80000.0,0.0
81000.0,0.1875,0.0,81000.0,89.1,78.2,79.07869481765836,78.1124497991968,81000.0,0.0
82000.0,0.1875,0.0,82000.0,89.0,77.99859190988224,77.77777777777779,77.82258064516128,82000.0,0.0
83000.0,0.1875,0.0,83000.0,87.2,74.37047478695456,75.24177949709865,72.64957264957265,83000.0,0.0
84000.0,0.1875,0.0,84000.0,88.5,77.0,77.09163346613546,76.4344262295082,84000.0,0.0
85000.0,0.1875,0.0,85000.0,85.8,71.60170389776613,71.82539682539682,70.042194092827,85000.0,0.0
86000.0,0.203125,0.0,86000.0,85.5,70.972133247918,71.28712871287128,69.85446985446984,86000.0,0.0
87000.0,0.203125,0.0,87000.0,84.7,69.38898003281182,69.5219123505976,69.09090909090908,87000.0,0.0
88000.0,0.203125,0.0,88000.0,83.3,66.60561025747673,65.28066528066527,65.63786008230453,88000.0,0.0
89000.0,0.203125,0.0,89000.0,81.89999999999999,63.77536724972981,63.43434343434342,62.525879917184255,89000.0,0.0
90000.0,0.203125,0.0,90000.0,86.0,71.99495909263666,72.27722772277228,71.6024340770791,90000.0,0.0
91000.0,0.203125,0.0,91000.0,84.1,68.20890150757788,67.68292682926828,67.94354838709677,91000.0,0.0
92000.0,0.203125,0.0,92000.0,83.5,67.00079198099245,67.39130434782608,66.18852459016392,92000.0,0.0
93000.0,0.21875,0.0,93000.0,85.39999999999999,70.73995839462577,69.83471074380165,68.26086956521739,93000.0,0.0
94000.0,0.21875,0.0,94000.0,82.8,65.5971101572532,65.8051689860835,65.11156186612575,94000.0,0.0
95000.0,0.21875,0.0,95000.0,81.5,63.0026638082058,63.29365079365078,61.61825726141078,95000.0,0.0
96000.0,0.21875,0.0,96000.0,84.89999999999999,69.7763046228243,68.4759916492693,67.8723404255319,96000.0,0.0
97000.0,0.21875,0.0,97000.0,82.19999999999999,64.37948258196721,62.28813559322033,63.89452332657199,97000.0,0.0
